,mlp
17,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.848992445858882, 'activation': 'logistic', 'hidden_layer_sizes': (136, 2, 19, 14, 124), 'alpha': 0, 'max_iter': 288, 'batch_size': 74, 'shuffle': True, 'momentum': 0.35328798819880197, 'nesterovs_momentum': True}"
18,"{'solver': 'adam', 'learning_rate_init': 0.46698403066037997, 'activation': 'logistic', 'hidden_layer_sizes': (98, 174, 3), 'alpha': 3.9696684245558007, 'max_iter': 125, 'batch_size': 54, 'shuffle': True, 'beta_1': 0.30717742530833936, 'beta_2': 0.7388211285502195}"
19,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.0528538211637677, 'activation': 'logistic', 'hidden_layer_sizes': (1, 172, 29), 'alpha': 0.6697049982381837, 'max_iter': 175, 'batch_size': 55, 'shuffle': True, 'momentum': 0.4705521620930532, 'nesterovs_momentum': False}"
20,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.45880082596577804, 'activation': 'logistic', 'hidden_layer_sizes': (132, 6, 32), 'alpha': 4.728067818886961, 'max_iter': 592, 'batch_size': 123, 'shuffle': True, 'momentum': 0.35575915645376754, 'nesterovs_momentum': False}"
21,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.1524000593893324, 'activation': 'logistic', 'hidden_layer_sizes': (168, 85, 58, 1, 104), 'alpha': 0, 'max_iter': 173, 'batch_size': 52, 'shuffle': True, 'momentum': 0.052607948738692366, 'nesterovs_momentum': True}"
22,"{'solver': 'adam', 'learning_rate_init': 0.21114279860670015, 'activation': 'logistic', 'hidden_layer_sizes': (136, 38, 40, 44), 'alpha': 0, 'max_iter': 784, 'batch_size': 54, 'shuffle': False, 'beta_1': 0.1148204564410292, 'beta_2': 0.4851140372945262}"
23,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.07274162990101267, 'activation': 'logistic', 'hidden_layer_sizes': (45, 40, 133, 8), 'alpha': 3.5251594584745, 'max_iter': 622, 'batch_size': 105, 'shuffle': True, 'momentum': 0.478547698716276, 'nesterovs_momentum': True}"
24,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.4466561755707626, 'activation': 'logistic', 'hidden_layer_sizes': (11, 44, 4), 'alpha': 0, 'max_iter': 442, 'batch_size': 79, 'shuffle': False, 'momentum': 0.26991127579864516, 'nesterovs_momentum': True}"
25,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 1.0100380292472493, 'activation': 'logistic', 'hidden_layer_sizes': (65, 8), 'alpha': 3.923429111247776, 'max_iter': 131, 'batch_size': 125, 'shuffle': False, 'momentum': 0.018979553055362388, 'nesterovs_momentum': False}"
26,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.6373652489280796, 'activation': 'logistic', 'hidden_layer_sizes': (2, 118, 21), 'alpha': 2.5725267212288183, 'max_iter': 384, 'batch_size': 115, 'shuffle': True, 'momentum': 0.5560103574650296, 'nesterovs_momentum': False}"
27,"{'solver': 'sgd', 'learning_rate': 'constant', 'learning_rate_init': 0.22209654651080943, 'activation': 'logistic', 'hidden_layer_sizes': (136, 108, 82, 32, 180), 'alpha': 4.315028820198176, 'max_iter': 798, 'batch_size': 79, 'shuffle': False, 'momentum': 0.10485743419043646, 'nesterovs_momentum': True}"
28,"{'solver': 'adam', 'learning_rate_init': 0.9242991283379828, 'activation': 'logistic', 'hidden_layer_sizes': (76, 1), 'alpha': 0, 'max_iter': 147, 'batch_size': 112, 'shuffle': False, 'beta_1': 0.48707848869295106, 'beta_2': 0.15656542789831135}"
29,"{'solver': 'adam', 'learning_rate_init': 0.4547375486656524, 'activation': 'logistic', 'hidden_layer_sizes': (54, 174), 'alpha': 0, 'max_iter': 558, 'batch_size': 61, 'shuffle': True, 'beta_1': 0.07638857839403418, 'beta_2': 0.9683571117830804}"
