,SLM
10,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.34806454807986653, 'maximum_bias_connection_weight': 0.7842638664804388, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6F9BA5C8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
11,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.28983228322895715, 'maximum_bias_connection_weight': 0.7408970186210617, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6F9C3E08>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
12,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.4688225546947151, 'maximum_bias_connection_weight': 0.873394545015329, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6F9D6508>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
13,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.38353780485836964, 'maximum_bias_connection_weight': 0.1684767963163696, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6F9E0B88>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
14,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.4185478099056149, 'maximum_bias_connection_weight': 0.8717848379832285, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6F9FA8C8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
15,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.22108081989337194, 'maximum_bias_connection_weight': 0.3858698891263914, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6FA03B88>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
16,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.1452211477750156, 'maximum_bias_connection_weight': 0.40926536204282593, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6FA146C8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
17,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.1747022564509392, 'maximum_bias_connection_weight': 0.8986768348573645, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6FA25788>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
18,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.35756802015244815, 'maximum_bias_connection_weight': 0.2728495326492898, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6FA2FE88>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
19,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.47633950760548527, 'maximum_bias_connection_weight': 0.22675045044426834, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6FA411C8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
20,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.11989376785790005, 'maximum_bias_connection_weight': 0.2889790088740707, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6FA4A9C8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
21,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.20543711423334085, 'maximum_bias_connection_weight': 0.8717300674314308, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6FA56DC8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
22,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.18008215950936815, 'maximum_bias_connection_weight': 0.99259004603495, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6FA6D948>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
23,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.437067149225723, 'maximum_bias_connection_weight': 0.7327507709801674, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6FA830C8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
24,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.21474007098887282, 'maximum_bias_connection_weight': 0.11999715599796816, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6FA96A08>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
25,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.25631837531664514, 'maximum_bias_connection_weight': 0.1387945357014149, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6FAA0CC8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
26,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.13731567207695608, 'maximum_bias_connection_weight': 0.49016907529849696, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6FAB1DC8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
27,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.16745725600913386, 'maximum_bias_connection_weight': 0.4997061471148616, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6FAC9EC8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
28,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.2378003744081808, 'maximum_bias_connection_weight': 0.515597944927, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6FADA3C8>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
29,"{'stopping_criterion': EDV_threshold_0.25, 'population_size': 100, 'layers': 5, 'learning_step': 'optimized', 'maximum_neuron_connection_weight': 0.27081964961060084, 'maximum_bias_connection_weight': 0.456245189924822, 'mutation_operator': <algorithms.semantic_learning_machine.mutation_operator.Mutation4 object at 0x000001DC6FAE4C88>, 'random_sampling_technique': False, 'random_weighting_technique': False, 'protected_ols': False, 'bootstrap_ols': False, 'store_ls_history': True}"
